RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
233319,233319,2024-09-24 21:05:04.8425069,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: -,DisabledPrivilegeList: SeBackupPrivilege,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0x164C),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0x164C""},{""@Name"":""EnabledPrivilegeList"",""#text"":""-""},{""@Name"":""DisabledPrivilegeList"",""#text"":""SeBackupPrivilege""}]}}"
233320,233320,2024-09-24 21:05:04.8425123,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: -,DisabledPrivilegeList: SeSecurityPrivilege,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0x164C),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0x164C""},{""@Name"":""EnabledPrivilegeList"",""#text"":""-""},{""@Name"":""DisabledPrivilegeList"",""#text"":""SeSecurityPrivilege""}]}}"
233321,233321,2024-09-24 21:05:04.8441164,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A process has exited,WORKGROUP\EC2AMAZ-0TD157D$,,,PID: 0x164C,,,,,C:\Windows\SysWOW64\wevtutil.exe,False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x164C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""}]}}"
233322,233322,2024-09-24 21:05:04.8516668,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A new process has been created,WORKGROUP\EC2AMAZ-0TD157D$,,Parent process: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,PID: 0xE38,Parent PID: 0x18C8,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\SysWOW64\wevtutil.exe ""C:\Windows\system32\wevtutil.exe"" cl Microsoft-Windows-mobsync/Diagnostic",False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xE38""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x18C8""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\"" cl Microsoft-Windows-mobsync/Diagnostic""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
233323,233323,2024-09-24 21:05:04.8671012,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: SeSecurityPrivilege,DisabledPrivilegeList: -,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xE38),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xE38""},{""@Name"":""EnabledPrivilegeList"",""#text"":""SeSecurityPrivilege""},{""@Name"":""DisabledPrivilegeList"",""#text"":""-""}]}}"
233324,233324,2024-09-24 21:05:04.8671088,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: SeBackupPrivilege,DisabledPrivilegeList: -,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xE38),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xE38""},{""@Name"":""EnabledPrivilegeList"",""#text"":""SeBackupPrivilege""},{""@Name"":""DisabledPrivilegeList"",""#text"":""-""}]}}"
233325,233325,2024-09-24 21:05:04.8698840,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: -,DisabledPrivilegeList: SeBackupPrivilege,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xE38),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xE38""},{""@Name"":""EnabledPrivilegeList"",""#text"":""-""},{""@Name"":""DisabledPrivilegeList"",""#text"":""SeBackupPrivilege""}]}}"
233326,233326,2024-09-24 21:05:04.8698904,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: -,DisabledPrivilegeList: SeSecurityPrivilege,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xE38),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xE38""},{""@Name"":""EnabledPrivilegeList"",""#text"":""-""},{""@Name"":""DisabledPrivilegeList"",""#text"":""SeSecurityPrivilege""}]}}"
233327,233327,2024-09-24 21:05:04.8709707,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A process has exited,WORKGROUP\EC2AMAZ-0TD157D$,,,PID: 0xE38,,,,,C:\Windows\SysWOW64\wevtutil.exe,False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0xE38""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""}]}}"
233328,233328,2024-09-24 21:05:04.8751069,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A new process has been created,WORKGROUP\EC2AMAZ-0TD157D$,,Parent process: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,PID: 0x624,Parent PID: 0x18C8,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\SysWOW64\wevtutil.exe ""C:\Windows\system32\wevtutil.exe"" cl Microsoft-Windows-ntshrui",False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x624""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x18C8""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\"" cl Microsoft-Windows-ntshrui""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
